City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Kavieng,PG,-2.5744,150.7967,28.32,71,97,5.75,overcast clouds
141,Batticaloa,LK,7.7102,81.6924,26.41,84,84,2.42,broken clouds
142,Yellowknife,CA,62.456,-114.3525,-8.71,45,20,4.63,few clouds
143,Henties Bay,NA,-22.116,14.2845,17.03,76,0,2.81,clear sky
144,Troitsko-Pechorsk,RU,62.7084,56.1964,-4.36,92,93,2.24,overcast clouds
145,Millinocket,US,45.6573,-68.7098,6.06,49,100,6.17,overcast clouds
146,Cherskiy,RU,68.75,161.3,-13.18,92,100,2.36,overcast clouds
147,Namibe,AO,-15.1961,12.1522,24.25,70,30,1.34,scattered clouds
148,Tiksi,RU,71.6872,128.8694,-23.14,99,76,0.58,broken clouds
149,Pevek,RU,69.7008,170.3133,-17.7,96,31,1.16,scattered clouds
150,Dikson,RU,73.5069,80.5464,-21.21,100,80,2.58,broken clouds
151,Meulaboh,ID,4.1363,96.1285,25.63,87,100,1.4,overcast clouds
152,Shimoda,JP,34.6667,138.95,12.84,81,100,2.77,overcast clouds
153,Huancavelica,PE,-12.7667,-74.9833,11.02,49,11,4.53,few clouds
154,Marawi,PH,7.9986,124.2928,20.27,97,79,0.64,broken clouds
155,Kirakira,SB,-10.4544,161.9205,26.69,81,90,3.11,overcast clouds
156,Saint-Philippe,RE,-21.3585,55.7679,24.77,89,73,5.97,light rain
157,Kruisfontein,ZA,-34.0033,24.7314,16.05,90,0,2.38,clear sky
158,Setermoen,NO,68.861,18.3486,6.98,95,100,3.14,overcast clouds
159,Mayumba,GA,-3.432,10.6554,25.81,90,100,1.65,overcast clouds
160,Kisesa,TZ,-3.0833,34.15,19.41,72,79,2.39,broken clouds
161,Aleksandrov Gay,RU,50.147,48.5704,12.05,67,93,1.64,overcast clouds
162,Heilbad Heiligenstadt,DE,51.3833,10.1333,7.77,76,38,2.17,scattered clouds
163,Kaduy,RU,59.2,37.15,-0.94,93,77,0.72,broken clouds
164,Salinas,US,36.6777,-121.6555,19.45,67,0,4.63,clear sky
165,Chuy,UY,-33.6971,-53.4616,19.73,61,100,4.34,overcast clouds
166,Revda,RU,56.801,59.9303,-0.01,98,100,1.48,light snow
167,Cabedelo,BR,-6.9811,-34.8339,29.37,78,74,3.17,broken clouds
168,Halifax,CA,44.6453,-63.5724,10.0,55,82,3.6,broken clouds
169,Mocuba,MZ,-16.8392,36.9856,21.48,97,0,1.45,clear sky
170,Lavrentiya,RU,65.5833,-171.0,-1.37,95,100,6.25,light snow
171,Kamenka,RU,51.3223,42.7678,10.07,85,100,3.1,overcast clouds
172,Mayo,US,38.8876,-76.5119,14.59,37,0,7.6,clear sky
173,Upernavik,GL,72.7868,-56.1549,-19.1,81,100,6.98,overcast clouds
174,Yamada,JP,39.4667,141.95,6.8,80,5,2.1,clear sky
175,Berdigestyakh,RU,62.0989,126.6992,-5.59,86,100,4.44,overcast clouds
176,Castro,BR,-24.7911,-50.0119,18.67,64,2,0.5,clear sky
177,Constitucion,CL,-35.3333,-72.4167,15.79,72,43,2.71,scattered clouds
178,Islamkot,PK,24.6997,70.177,24.72,86,4,4.95,clear sky
179,Jasper,US,37.2001,-94.3502,9.47,75,100,2.06,overcast clouds
180,Gorom-Gorom,BF,14.4439,-0.2361,31.22,10,98,4.28,overcast clouds
181,Garowe,SO,8.4054,48.4845,27.89,60,51,5.32,broken clouds
182,Marrakesh,MA,31.6315,-8.0083,30.04,19,0,3.09,clear sky
183,Lompoc,US,34.6391,-120.4579,22.14,68,0,6.71,clear sky
184,Samoylovka,RU,51.184,43.7081,11.08,78,100,2.51,overcast clouds
185,Saldanha,ZA,-33.0117,17.9442,16.03,83,0,5.1,clear sky
186,Lincoln,US,40.8,-96.667,7.77,66,100,4.12,overcast clouds
187,Qandala,SO,11.472,49.8728,29.66,62,1,3.07,clear sky
188,Chaman,PK,30.9236,66.4512,24.04,27,100,3.89,overcast clouds
