City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
230,Asuncion,PY,26.69,few clouds,-25.3007,-57.6359,"Crowne Plaza Asuncion, an IHG Hotel"
232,Pacific Grove,US,19.02,clear sky,36.6177,-121.9166,Lovers Point Inn
233,Wete,TZ,25.45,overcast clouds,-5.0559,39.7294,Sharook Riviera Grand Lodge
234,Mount Gambier,AU,11.95,overcast clouds,-37.8333,140.7667,The Commodore
235,Avarua,CK,27.03,few clouds,-21.2078,-159.775,Paradise Inn
236,Hokitika,NZ,11.64,clear sky,-42.7167,170.9667,Beachfront Hotel Hokitika
237,Balykshi,KZ,10.0,clear sky,47.0667,51.8667,Гостиница Golden Rose
238,Vanimo,PG,25.33,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
242,Urucara,BR,27.07,moderate rain,-2.5364,-57.76,Pousada Maria Bonita
244,Saint-Gaudens,FR,13.9,overcast clouds,43.0833,0.6667,L'Ardiégeoise
245,Arraial Do Cabo,BR,23.98,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
246,Murwillumbah,AU,18.01,scattered clouds,-28.3167,153.4,Murwillumbah Motor Inn
248,Lata,PT,16.62,overcast clouds,40.1629,-8.3327,Casa Maquia
249,Hamilton,US,11.6,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
252,Jinxiang,CN,14.09,overcast clouds,27.4327,120.6062,Wolong Village
253,Victoria,HK,22.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
254,Maldonado,UY,20.66,overcast clouds,-34.6667,-54.9167,La Cimarrona
255,Port Hedland,AU,26.03,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
256,Shingu,JP,14.09,overcast clouds,33.7333,135.9833,Shingu UI Hotel
258,Rio Grande,BR,22.06,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
259,Ankazoabo,MG,24.57,overcast clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
264,Les Cayes,HT,27.88,overcast clouds,18.2,-73.75,Villa Orphee
265,Manono,CD,21.46,light rain,-7.3,27.4167,Hotel hewa bora
266,Hanover,DE,10.96,clear sky,52.3705,9.7332,Central Hotel Kaiserhof
269,Lujan,AR,21.84,overcast clouds,-34.5703,-59.105,Hotel Biarritz
270,Almoloya,MX,27.25,clear sky,19.7,-98.4,Motel Rancho Viejo
271,Bambous Virieux,MU,25.14,moderate rain,-20.3428,57.7575,Casa Tia Villa
273,Camopi,GF,25.03,light rain,3.1655,-52.3158,La pousada
277,Margate,GB,13.5,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
278,Berbera,SO,27.65,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
282,Biak,ID,24.15,broken clouds,-0.9131,122.8766,Penginapan Kim
283,Badou,TG,25.91,overcast clouds,7.5833,0.6,Hôtel Abuta
284,Kralendijk,BQ,27.99,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
285,Ancud,CL,15.13,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
286,Lazaro Cardenas,MX,28.56,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
287,Yulara,AU,16.91,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
290,Nishiwaki,JP,13.36,broken clouds,34.9833,134.9667,Nishiwaki Royal Hotel
291,Colares,PT,17.1,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
293,Coquimbo,CL,15.85,scattered clouds,-29.9533,-71.3436,Hotel San Juan
